smiles,Fu_final,lgFu,Fu_train_test
CN=C(c1cc(F)ccc1CN=C(c1nn2c(c1O)C(=O)N(C[C@@H]2c1ccccc1)C)O)O,0.88,-0.055517328,train
CN=C(c1cc(F)ccc1CN=C(c1nn2c(c1O)C(=O)N(C[C@H]2c1ccccc1)C)O)O,0.88,-0.055517328,test
CN1CCC23C4OC5=C(O)C=CC(CC1C2CCC4=O)=C35,0.87833333,-0.056340637,train
Cc1ccc(c(n1)CNCC12CC3CC(C2)CC(C1)C3)O,0.878,-0.056505484,test
CCC(C)=O,0.87437,-0.058304752,test
CN(CC(O)=O)NC(=O)CC(N)CC(O)CN,0.873700001,-0.058637664,train
Cc1cccc(C)c1NC(=O)C(C)N,0.87,-0.060480747,test
C#CC[C@H](n1cccc(c1=O)NC(=O)c1noc(c1)C)C(=N[C@@H](C[C@@H]1CCN=C1O)/C=C/C(=O)OCc1ccccc1)O,0.87,-0.060480747,train
CCN(CC)C(=O)C1(CC1CN)C1C=CC=CC=1,0.87,-0.060480747,train
CC(N1CCN(CC1)C(=O)C1CC21CCN(CC2)C1CCOCC1)C,0.87,-0.060480747,train
C=C1C(CO)C(O)CC1N1C=NC2C(=O)NC(N)=NC1=2,0.87,-0.060480747,train
COP(=O)(NC(C)=O)SC,0.868395495,-0.061282438,train
OC(=O)C1C(C2CCC1O2)C(O)=O,0.867,-0.061980903,train
NC1C=CN(C2CSC(CO)O2)C(=O)N=1,0.865,-0.062983893,train
CCCOC(=O)C1C=NC(=CC=1)C(=O)OCCC,0.865,-0.062983893,train
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,0.862,-0.064492734,train
NCCC(O)(P(=O)(O)O)P(=O)(O)O,0.860000005,-0.065501546,train
OCC1(O)CC(NC(CO)CO)C(O)C(O)C1O,0.860000005,-0.065501546,train
CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(O)=O,0.860000005,-0.065501546,train
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.860000003,-0.065501547,train
Cc1cccc(C)c1NC(=O)NCCCNC(C)C,0.86,-0.065501549,test
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,0.86,-0.065501549,test
OC(=NCc1ncccc1F)Cn1c(Cl)c[nH]c(=NCC(c2ccccn2)(F)F)c1=O,0.86,-0.065501549,train
CCOP(=O)(C1=C[C@H]([C@@H]([C@H](C1)NC(=N)N)N=C(O)C)OC(CC)CC)O,0.86,-0.065501549,train
NC(=O)N=NCC1=CC=C(O1)[N+]([O-])=O,0.856,-0.067526235,train
CN1C(=CC(C2C=CC=CC=2)=[N+]1C)C1C=CC=CC=1,0.850909878,-0.070116435,train
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,0.85000002,-0.070581064,train
CC(C)(C)NCC(O)COC1C=CC=C2NC(=O)CCC=12,0.85000001,-0.070581069,train
CC1OC2(CS1)CN1CCC2CC1,0.85000001,-0.070581069,test
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,0.85000001,-0.070581069,train
COC1C=C(CCN)C=C(OC)C=1OC,0.85000001,-0.070581069,train
CCCNC1CC2SC(N)=NC=2CC1,0.85000001,-0.070581069,train
Cn1nnc2c(C(N)=O)ncn2c1=O,0.85000001,-0.070581069,train
CC1(C)OC2C3OC(C)(C)OC3COC2(COS(N)(=O)=O)O1,0.85000001,-0.070581069,train
CC1=NC=C(N1CC(O)CCl)[N+]([O-])=O,0.85000001,-0.070581069,train
COCCOC1C(=CC(CC2=CN=C(N)N=C2N)=CC=1OC)OC,0.85000001,-0.070581069,train
CC(=O)OC1C(O)CC(OC1C)OC1C(O)CC(OC1C)OC1C(O)CC(OC2CCC3(C)C4CC(O)C5(C)C(CCC5(O)C4CCC3C2)C2COC(=O)C=2)OC1C,0.85000001,-0.070581069,train
CNC(C)CC1C=CC=CC=1,0.850000005,-0.070581072,train
